,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-08 12:00:00,23.0,868.0,7249.4323219255775
2017-06-08 13:00:00,24.9,837.0,7403.185153203701
2017-06-08 14:00:00,23.0,753.0,6551.869284015598
2017-06-08 15:00:00,24.0,631.0,6483.343362474674
2017-06-08 16:00:00,24.7,470.0,6052.46613508589
2017-06-08 17:00:00,23.0,296.0,5147.728614392054
2017-06-08 18:00:00,22.0,145.0,4989.936987696048
2017-06-08 19:00:00,23.3,37.0,4735.046853348913
2017-06-08 20:00:00,22.0,1.0,2779.863464693211
2017-06-08 21:00:00,22.0,0.0,496.05052771660064
2017-06-08 22:00:00,21.4,0.0,692.2000905525177
2017-06-08 23:00:00,21.0,0.0,674.7285475780433
2017-06-09 00:00:00,21.0,0.0,128.92637733061025
2017-06-09 01:00:00,20.8,0.0,150.8068613745594
2017-06-09 02:00:00,21.0,0.0,140.9177140757794
2017-06-09 03:00:00,21.0,0.0,86.80002898703222
2017-06-09 04:00:00,20.2,0.0,179.87765183637433
2017-06-09 05:00:00,20.0,21.0,103.01885200176531
2017-06-09 06:00:00,21.0,78.0,108.59289392634871
2017-06-09 07:00:00,20.5,129.0,299.01165307415283
2017-06-09 08:00:00,20.0,198.0,581.4998167054162
2017-06-09 09:00:00,20.0,270.0,3292.387992551445
2017-06-09 10:00:00,19.8,278.0,4327.471772653801
2017-06-09 11:00:00,20.0,394.0,3893.8224230307314
2017-06-09 12:00:00,20.0,455.0,5079.12443858202
2017-06-09 13:00:00,20.0,469.0,5648.396328084424
2017-06-09 14:00:00,21.0,421.0,4974.024053017105
2017-06-09 15:00:00,21.0,276.0,4824.599753830066
2017-06-09 16:00:00,22.0,192.0,4522.933127602011
2017-06-09 17:00:00,22.0,114.0,3489.140444512034
2017-06-09 18:00:00,22.0,74.0,3473.0123748219507
2017-06-09 19:00:00,22.3,28.0,4024.3453130478483
2017-06-09 20:00:00,21.0,1.0,2017.5564231321634
2017-06-09 21:00:00,21.0,0.0,429.2146416019693
